time,hat{D_{w}},hat{D_{q}},theta,e_{theta},tau_{q}
0,0.010433124880204,0,0,0.174532925199433,99.9843537807465
0.1,0.262020687516399,-0.087042801476993,0.015435286233655,0.159097638965778,99.9387979507446
0.2,-0.152579349907519,-0.81590584592293,0.041958401034275,0.132574524165158,99.9916791915894
0.3,-0.532784848323098,-1.86626475515121,0.068833365765975,0.105699559433459,99.9263882637024
0.4,-0.937397796617136,-3.01678269132792,0.094280313078474,0.080252612120959,99.9846458435059
0.5,-1.34803954731791,-4.25272556086929,0.118065221155004,0.056467704044429,99.8507976531982
0.6,-1.7372303707275,-5.24122688473451,0.139338220972189,0.035194704227244,76.0125994682312
0.7,-2.12253882453049,-6.24856894929993,0.154190799923626,0.020342125275807,58.244526386261
0.8,-2.51355744744283,-7.12256420969515,0.162529782303717,0.012003142895716,49.3611395359039
0.9,-2.90433595915606,-7.96960489078023,0.166595538097069,0.007937387102364,48.1059700250626
1,-3.27620521085762,-8.79037641069854,0.168589782554683,0.00594314264475,48.4653651714325
1.1,-3.62702348128659,-9.53166744895742,0.169207314477829,0.005325610721604,45.8871513605118
1.2,-3.95937680899103,-10.1686452813647,0.16912765855231,0.005405266647123,48.0870366096497
1.3,-4.27054491149057,-10.6592146468258,0.168951354497662,0.005581570701771,46.9447553157806
1.4,-4.55838487435317,-11.0457174035188,0.168910064943366,0.005622860256067,45.9137350320816
1.5,-4.82363839050642,-11.3149956545055,0.169113878410237,0.005419046789196,44.4072127342224
1.6,-5.06567965903413,-11.4778307731116,0.169818320312927,0.004714604886506,43.0668622255325
1.7,-5.28238700039573,-11.5104536071251,0.171201678586698,0.003331246612735,41.5706694126129
1.8,-5.46934501880435,-11.4429455115354,0.172969476404915,0.001563448794518,37.5095278024673
1.9,-5.63004007351447,-11.236838359523,0.174477909207642,5.50159917911686E-05,32.3392063379288
2,-5.7670271221384,-10.9388251956054,0.175448165886184,-0.000915240686751,32.661971449852
2.1,-5.8794150752579,-10.5315919894973,0.176241674560427,-0.001708749360994,23.3108520507812
2.2,-5.96349594714336,-10.0080664797305,0.176956450938598,-0.002423525739165,21.9310730695724
2.3,-6.01516002358491,-9.45368034070737,0.177531139762289,-0.002998214562856,15.5361443758011
2.4,-6.05419312733908,-8.80964966143828,0.177923935656722,-0.003391010457289,14.6796405315399
2.5,-6.06421582130402,-8.06295905083213,0.178235936618618,-0.003703011419186,10.7589043676853
2.6,-6.03524182199754,-7.24206782779159,0.178573189766439,-0.004040264567006,9.00423675775528
2.7,-5.98048801034591,-6.40337638256624,0.178951210103516,-0.004418284904083,9.01809632778168
2.8,-5.9037923532172,-5.55565011973822,0.179364653389507,-0.004831728190074,4.34628836810589
2.9,-5.80601552660861,-4.63349025368403,0.179596008061408,-0.005063082861975,5.32189682126045
3,-5.68831637997264,-3.63463417319638,0.179737255652105,-0.005204330452672,4.67657707631588
3.1,-5.55085641933114,-2.72996888707331,0.179811265861562,-0.005278340662129,4.41409014165401
3.2,-5.39499678707081,-1.7752098599367,0.179819121723605,-0.005286196524172,4.63365018367767
3.3,-5.2117574089771,-0.893409190388889,0.17968512802813,-0.005152202828697,5.70993348956108
3.4,-5.01397734564638,0.069225406047272,0.179407055254953,-0.00487413005552,5.76816201210022
3.5,-4.80099271540398,0.940263691483432,0.179022969034841,-0.004490043835408,9.32171791791916
3.6,-4.57326424282652,1.72742403965251,0.178571517163999,-0.004038591964566,9.86149981617928
3.7,-4.33369242787872,2.5222149292173,0.178090173014475,-0.003557247815042,13.2076054811478
3.8,-4.08290388989771,3.23653725784118,0.177689550834901,-0.003156625635468,11.7290280759335
3.9,-3.82312484892478,3.88265787726758,0.177416682412163,-0.00288375721273,20.0392246246338
4,-3.55460180993319,4.50282683410079,0.177172954090839,-0.002640028891406,17.9094418883324
4.1,-3.28099123373495,5.01056765734086,0.176941731805585,-0.002408806606152,18.8928484916687
4.2,-3.00505006125439,5.46158298818901,0.176691313478078,-0.002158388278645,20.0540140271187
4.3,-2.72530647682568,5.82122304420294,0.17651477038366,-0.001981845184227,21.4583694934845
4.4,-2.44664195520869,6.12088381212302,0.176379583259908,-0.001846658060475,24.9888822436333
4.5,-2.16865779725338,6.34718756146622,0.176383629848057,-0.001850704648624,25.96375644207
4.6,-1.89323902110645,6.46260423199055,0.176434742898275,-0.001901817698842,28.7679880857468
4.7,-1.62260687940355,6.52993000551779,0.17649457690458,-0.001961651705147,26.8999755382538
4.8,-1.35866395852087,6.50008296864373,0.17656934900619,-0.002036423806757,25.4527628421783
4.9,-1.10095788165052,6.46878926922427,0.176631649217208,-0.002098724017775,27.209946513176
5,-0.853172742030283,6.37350802136009,0.176683546754693,-0.00215062155526,30.262815952301
5.1,-0.615192705368425,6.13817351969878,0.176789064284972,-0.002256139085539,21.9162002205849
5.2,-0.38814200381691,5.93803620259952,0.176869694294995,-0.002336769095562,23.404099047184
5.3,-0.172688971015069,5.63729172267363,0.176944187343122,-0.002411262143689,22.5857600569725
5.4,0.028662686505026,5.37494762350084,0.177011332893159,-0.002478407693726,22.1486747264862
5.5,0.217658818277632,4.95287812018637,0.177071528339535,-0.002538603140102,22.1371844410896
5.6,0.391299568669664,4.59126598340108,0.177116452993526,-0.002583527794093,18.0721640586853
5.7,0.550454701868223,4.21799570079895,0.177192448163893,-0.00265952296446,18.9858451485634
5.8,0.694096995909103,3.83713014683246,0.177384608293493,-0.00285168309406,16.1382585763931
5.9,0.822863998224066,3.37872821919311,0.177542948927294,-0.003010023727861,15.4692575335503
