time,hat{D_{q}},theta,e_{theta},tau_{q}
0,0,0,0.174532925199433,99.629819393158
0.1,-0.079651602667557,0.015905305007433,0.158627620192,100
0.2,-0.748234841432172,0.0416072225976,0.132925702601833,99.7629225254059
0.3,-1.83912861189342,0.065384022487394,0.109148902712039,99.7926831245422
0.4,-3.01304862493775,0.086271388178443,0.08826153702099,100
0.5,-4.16699652359677,0.104218455373552,0.070314469825881,99.6621549129486
0.6,-5.19661566824628,0.119231431933353,0.05530149326608,98.1488645076752
0.7,-6.24548476430668,0.131439540027178,0.043093385172255,97.5415825843811
0.8,-7.10010230893471,0.140891344919159,0.033641580280274,95.3788757324219
0.9,-7.95611746661915,0.147621455043511,0.026911470155922,93.6016380786896
1,-8.77902802236736,0.1520742241298,0.022458701069633,92.2057390213013
1.1,-9.56399773223112,0.15482160020794,0.019711324991493,89.735472202301
1.2,-10.1738780480672,0.156532208274517,0.018000716924916,88.6455297470093
1.3,-10.6195601205777,0.157725862030094,0.016807063169339,87.6611053943634
1.4,-11.0540716312302,0.159115301794474,0.015417623404959,80.108118057251
1.5,-11.435718583578,0.16155451332078,0.012978411878653,72.3067998886108
1.6,-11.4675963290166,0.164770577990069,0.009762347209364,61.7352485656738
1.7,-11.5263912765672,0.167494911798776,0.007038013400657,49.6618151664734
1.8,-11.4415473584637,0.169670816550997,0.004862108648436,42.1921759843826
1.9,-11.2465309459775,0.171603298670746,0.002929626528687,37.7343356609344
2,-10.9176466299004,0.173229706161025,0.001303219038408,25.2977222204208
2.1,-10.5323007479839,0.174583822999805,-5.08978003724847E-05,18.120114505291
2.2,-10.0366547667357,0.175989216890545,-0.001456291691112,11.7748342454433
2.3,-9.46188343372439,0.177338348540371,-0.002805423340938,2.16286405920982
2.4,-8.80555533658947,0.178689220589601,-0.004156295390168,-3.84512171149254
2.5,-8.02903626723653,0.180408444059709,-0.005875518860276,-13.4685233235359
2.6,-7.24434009185061,0.182148134845146,-0.007615209645713,-18.3781996369362
2.7,-6.32660614821373,0.183690039354702,-0.009157114155269,-14.2045423388481
2.8,-5.44848314577449,0.185170774832586,-0.010637849633153,-10.5656489729881
2.9,-4.67049178502391,0.186510518971376,-0.011977593771943,-13.7561842799187
3,-3.6576961219491,0.187539215889471,-0.013006290690038,-19.6937963366508
3.1,-2.74558444827048,0.188182823402728,-0.013649898203296,-15.9102320671082
3.2,-1.79665769497024,0.18840148646781,-0.013868561268377,-19.4919630885124
3.3,-0.899575419272179,0.188265182688167,-0.013732257488734,-16.3106262683868
3.4,0.02703224019163,0.187811671564012,-0.013278746364579,-16.9653937220573
3.5,0.829625352311524,0.18707286959454,-0.012539944395107,-11.2014196813107
3.6,1.67808309350764,0.18609279843723,-0.011559873237797,-6.64712712168694
3.7,2.4944912879836,0.18490575144699,-0.010372826247557,-5.71625307202339
3.8,3.20178081172726,0.183520398621723,-0.00898747342229,3.09987310320139
3.9,3.80956471118672,0.181968370950029,-0.007435445750596,-1.65223143994808
4,4.37634471377605,0.180308897110124,-0.005775971910691,-0.116559676826
4.1,4.94779885398104,0.17874091964247,-0.004207994443037,3.39047610759735
4.2,5.44681039144302,0.17749902847826,-0.002966103278827,10.6878720223904
4.3,5.8270132612953,0.176516034297596,-0.001983109098163,14.6020799875259
4.4,6.13353616307687,0.175684254526346,-0.001151329326913,16.4036571979523
4.5,6.31185332806134,0.174875391041604,-0.000342465842171,26.5619784593582
4.6,6.46446581831853,0.174174515404188,0.000358409795245,25.2878785133362
4.7,6.53793702130974,0.173586126939814,0.000946798259619,35.1316541433334
4.8,6.56853767250924,0.173157744382832,0.001375180816601,31.5561503171921
4.9,6.48904099865912,0.172821204625272,0.001711720574161,35.2536290884018
5,6.39406507257887,0.172575852078142,0.001957073121291,36.9154542684555
5.1,6.22507814097203,0.172373519895182,0.002159405304251,45.6793010234833
5.2,6.02069724753997,0.17239490859033,0.002138016609103,54.3557465076447
5.3,5.65968670478579,0.172287218316162,0.002245706883271,52.2071003913879
5.4,5.37916513653858,0.172270903525379,0.002262021674054,51.4292001724243
5.5,5.00375380492272,0.172466256662377,0.002066668537056,53.0322074890137
5.6,4.65641948881112,0.17276285535604,0.001770069843393,51.4259040355682
5.7,4.20511676397647,0.173126409645611,0.001406515553822,43.3131903409958
5.8,3.87234942402721,0.173455695803063,0.00107722939637,42.6563858985901
5.9,3.40587847751827,0.173803380656205,0.000729544543228,42.0706331729889
6,3.01678083279952,0.174197064709004,0.000335860490429,39.4563794136047
6.1,2.59121115599658,0.174564303364076,-3.13781646428257E-05,31.6012799739838
6.2,2.18142566184998,0.174850209361132,-0.000317284161699,29.1688591241837
6.3,1.71656946480618,0.17510952671344,-0.000576601514007,21.6831803321838
