time,x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,-3,13,-1,4.70820393249937,-0.302745951623004,-0.674740942223553,100,-32.7621430158615,-30.2598655223846
0.1,-2.97988112312827,13.0002010454124,-0.999927309348898,4.68554946087173,-0.30983390691256,-0.645276516337251,99.3858674717352,3.92263209161376,-34.1455207764744
0.2,-2.92044231300468,13.0000240380603,-0.999832716942016,4.63554114980768,-0.319518305106038,-0.602603857242377,100.576512501559,8.10157964027581,-44.2350310602463
0.3,-2.82265226036472,12.9975391145643,-0.999756031075168,4.55700700237754,-0.327479514502263,-0.545918970926926,101.828670394051,78.3041861470847,-51.1871467210652
0.4,-2.68809084400062,12.9893630521203,-1.00035787264597,4.44866223736554,-0.325553635048148,-0.475459739837432,103.077947790027,84.2338563437941,-60.2186539169271
0.5,-2.51934636602579,12.9707698834461,-1.00354798740184,4.30923924083307,-0.31786769214481,-0.393825676068912,104.305375927632,90.4582029239936,-71.790919895815
0.6,-2.32032106698525,12.9361857167686,-1.01140031347232,4.13829509395057,-0.311874253587441,-0.302822640787052,105.497122628744,63.0693652270248,-72.2792441294475
0.7,-2.09632164077154,12.8797996877019,-1.02504562913046,3.93700813618017,-0.311549715940895,-0.214467822729291,106.63533395567,55.8184048102502,-46.933025537438
0.8,-1.85324323786481,12.7983568444071,-1.04471525347658,3.70905414280477,-0.31540236349283,-0.147659990669715,105.378470456997,75.3014445407139,62.6783249035361
0.9,-1.59567753463484,12.6942916779763,-1.0706659766002,3.46027621004853,-0.319057773959893,-0.104444190716893,102.281441304924,94.0043518059879,63.7472005258455
1,-1.32599902790986,12.5734473052947,-1.10381845757622,3.19623566173456,-0.320750943252248,-0.077507751270595,103.438018209442,108.158033138447,-13.1253735257331
1.1,-1.04498864299895,12.4420652001026,-1.14553681089822,2.92101669879229,-0.322313492716227,-0.05156132374583,105.697550392796,108.640141907375,9.89210061772827
1.2,-0.754134358136184,12.3041551716768,-1.19677413556182,2.63817511312102,-0.326222890523278,-0.024173009268932,106.499184017849,110.254095795176,-36.5562242058191
1.3,-0.455206225645151,12.1623662888499,-1.25785626469896,2.35111973785201,-0.33315183550705,0.006687272318074,107.90100857252,109.523520900681,-19.0657463603216
1.4,-0.149897424771928,12.0182008930341,-1.32877410709917,2.06302548557883,-0.343448582867227,0.037862833827639,110.574144467877,109.315379916648,48.0943030211489
1.5,0.161026619003436,11.8734931426808,-1.40942210232225,1.77673028913573,-0.357371133360357,0.069172834981588,104.590149476541,111.264498446939,45.7955668214076
1.6,0.477044863438234,11.7307686682525,-1.49952518668972,1.4953903285383,-0.374934637566729,0.096821890324328,110.144545134521,110.611598169848,73.9052654881688
1.7,0.798380768280219,11.5942338854941,-1.59871278734094,1.22208409780165,-0.396017078379894,0.120831927602577,104.672084517886,111.045961693757,82.8063877088708
