time,x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,-3,13,-1,1,0,0,0,0,0
0.1,-3,13,-1,4.4309518948453,-0.785398163397448,-0.755969410423908,0,0,0
0.2,-3,13,-1,4.5270431668705,-0.761200886169417,-0.746523211730612,100,35.2162516305958,-12.0396555564834
0.3,-2.99,13.0000002126493,-0.999999787508854,4.626543058621,-0.73856789203096,-0.736942718668784,100,64.2421027908356,-22.8226164032563
0.4,-2.96999992590314,12.9999772633448,-1.00001213944837,4.72364478648274,-0.714122753296921,-0.725835777624622,100,87.1936042363418,-31.3038888679718
0.5,-2.94000004929198,12.9998250711687,-1.00014365909034,4.81774752556826,-0.687857902746194,-0.713082261413948,100,100,-37.7338854116127
0.6,-2.90000272031139,12.9993757508483,-1.00056272847011,4.90822914119236,-0.659799630339101,-0.698537911114702,100,100,-42.343927523326
0.7,-2.85001519187842,12.9983982258858,-1.00150086620482,4.9944741748803,-0.630009546678753,-0.682040812354196,100,100,-45.3297645140501
0.8,-2.79005366174003,12.996596857192,-1.00325403503462,5.07586837839575,-0.598580374324345,-0.663415999531719,100,100,-46.8763473884735
0.9,-2.72014866746852,12.9936100580377,-1.00618390432113,5.1517939309486,-0.565629676600005,-0.64248046644696,100,100,-47.1624130079835
1,-2.64035198878724,12.9890088819477,-1.01071906680742,5.22162543430217,-0.531291516952246,-0.619048435021359,100,100,-46.3567285724234
1.1,-2.55074524177682,12.9822956053336,-1.01735619895549,5.28472679513533,-0.495706165727739,-0.592936711785327,100,100,-44.6076384991771
1.2,-2.45147711602817,12.9728161098993,-1.02677043067591,5.34044914312929,-0.459008085976712,-0.563969977409687,100,100,-41.9963660257281
1.3,-2.34280808158747,12.9597232794383,-1.03982526858588,5.38803806134298,-0.421298952922945,-0.531975120533275,100,100,-40.5950163891472
1.4,-2.22501233541281,12.9424504422787,-1.05711058011364,5.42663382059803,-0.385922697686387,-0.499787547205785,100,95.0627051270817,-38.7730645050949
1.5,-2.09841630177588,12.920447073678,-1.07921097420525,5.45571199732059,-0.352534710732466,-0.467451489347513,100,88.2764535845252,-36.3578337399515
1.6,-1.96339778137423,12.893181998807,-1.10670473510832,5.4748086589814,-0.320823762833275,-0.434992519495459,100,81.3417007972369,-33.0688919155584
1.7,-1.82038493447395,12.8601465835316,-1.14016276363987,5.48351708638018,-0.290506489984854,-0.402421394021989,100,74.3028407815655,-28.6657793409019
1.8,-1.6698550959239,12.820857911428,-1.18014752737527,5.48148529852932,-0.261322047900801,-0.369737066576469,100,67.1397959003108,-23.2174569383973
1.9,-1.51233341937239,12.7748619454559,-1.22721202118563,5.46841439568214,-0.233027008765415,-0.33692905023264,100,59.3679406632894,-16.9967714226874
2,-1.34839134745491,12.7217366727086,-1.28189873953887,5.44405774835583,-0.205390485473148,-0.303979280460631,100,48.9929016866235,-9.9533496133624
2.1,-1.17864490409699,12.6610952306384,-1.34473866196637,5.40822107915281,-0.178189414801069,-0.27086360929857,100,35.0930329144343,-2.05807613652702
2.2,-1.00375280437499,12.592589013132,-1.41625025308195,5.360763509865,-0.15120389603856,-0.237553045749486,100,18.3090919104802,5.71223807877465
2.3,-0.824414376586831,12.5159107547653,-1.49693847852278,5.30159967951045,-0.124212455854672,-0.204014849588468,100,-5.20933827533307,11.759916677401
2.4,-0.641328247064617,12.4308816095292,-1.58729383816378,5.23070308103112,-0.097353649779691,-0.170234737847964,100,-21.6486799225784,14.0954963275982
2.5,-0.454821092880288,12.3378522833763,-1.68750044452709,5.14812540385434,-0.072769636901077,-0.137662839214241,100,-28.5615064390382,15.9162514028358
