time,u,e_{u},tau_{u}
0,0.004,1.496,99.143385887146
0.1,0.396170401627572,1.10382959837243,99.0509867668152
0.2,0.749139558166789,0.750860441833211,99.1771280765533
0.3,1.05953591682029,0.440464083179713,98.3270406723022
0.4,1.27957084841269,0.22042915158731,67.4010694026947
0.5,1.34277618813881,0.157223811861191,49.4465112686157
0.6,1.34966613124817,0.150333868751829,47.4163293838501
0.7,1.34335503642608,0.156644963573922,49.0059405565262
0.8,1.3370165176464,0.162983482353601,50.6090521812439
0.9,1.33499875322901,0.165001246770985,51.5202581882477
1,1.33847120263556,0.161528797364437,50.598132610321
1.1,1.34730904824653,0.152690951753472,47.8604316711426
1.2,1.3618682889202,0.138131711079801,44.466444849968
1.3,1.38313286630493,0.116867133695068,39.4281804561615
1.4,1.40853253934382,0.091467460656181,33.4827333688736
1.5,1.4370123731333,0.062987626866702,27.2114485502243
1.6,1.46733216115058,0.03266783884942,19.8351562023163
1.7,1.49781962813502,0.002180371864983,12.7789959311485
1.8,1.52765211908062,-0.02765211908062,5.59640266001225
1.9,1.55820759767863,-0.058207597678627,-0.383585365489125
2,1.58516115603023,-0.08516115603023,-6.32639974355698
2.1,1.60708513368947,-0.10708513368947,-12.3250298202038
2.2,1.624317161503,-0.124317161503001,-14.7057041525841
2.3,1.63640577778971,-0.136405777789707,-18.1952878832817
2.4,1.64286703087501,-0.14286703087501,-19.4503962993622
2.5,1.64345648959786,-0.143456489597862,-19.6650639176369
2.6,1.63877383682236,-0.138773836822357,-18.8748866319656
2.7,1.6289421057229,-0.128942105722896,-16.4495214819908
2.8,1.61472290221943,-0.114722902219433,-13.3260235190392
2.9,1.59718132074588,-0.097181320745879,-9.13796126842499
3,1.57769368859172,-0.077693688591724,-5.41944317519665
3.1,1.55711095899221,-0.057110958992209,-0.106508424505591
3.2,1.53504031633915,-0.035040316339152,4.22761365771294
3.3,1.51199849752653,-0.011998497526526,8.78113061189652
3.4,1.49171604274301,0.008283957256993,13.6547461152077
3.5,1.47428698369204,0.02571301630796,17.4710914492607
3.6,1.45969028643877,0.040309713561235,21.5411573648453
3.7,1.44758376982776,0.052416230172243,24.3533074855804
3.8,1.43798588932451,0.062014110675488,26.701232790947
3.9,1.43151344140835,0.068486558591653,28.2032340764999
4,1.42777259487022,0.072227405129784,29.2944759130478
4.1,1.42647429890392,0.073525701096078,29.5387029647827
4.2,1.42774303901936,0.072256960980637,29.3630063533783
4.3,1.43099155908012,0.069008440919878,28.0555874109268
4.4,1.43570972519264,0.064290274807355,26.6336053609848
4.5,1.44184376829021,0.058156231709786,25.7986783981323
4.6,1.44873991395347,0.051260086046531,24.2371797561645
4.7,1.45630640845001,0.043693591549987,22.5830882787704
4.8,1.46402912584345,0.035970874156552,20.5946817994118
4.9,1.47195330420732,0.028046695792678,19.04127150774
5,1.47970424042599,0.020295759574009,16.6340112686157
5.1,1.48714593410101,0.012854065898994,15.2604624629021
5.2,1.4944001752609,0.005599824739097,12.9681408405304
5.3,1.50160852965094,-0.001608529650937,11.1799448728561
5.4,1.50895771324771,-0.008957713247708,9.31192338466644
5.5,1.51611383173242,-0.016113831732421,8.56931284070015
5.6,1.52317432466286,-0.02317432466286,6.36975169181824
5.7,1.53042604592016,-0.030426045920157,4.64757867157459
5.8,1.53847125292797,-0.038471252927973,3.16282734274864
5.9,1.54627869735705,-0.046278697357054,2.29744538664818
6,1.55378169661608,-0.053781696616078,0.73305070400238
6.1,1.56009732572154,-0.060097325721542,-0.741822645068168
6.2,1.5650520210746,-0.065052021074601,-2.42565255612135
6.3,1.56886049952239,-0.068860499522391,-2.78603974729776
6.4,1.57119981648287,-0.071199816482872,-3.54255251586437
6.5,1.57172075211936,-0.071720752119357,-3.76871339976788
6.6,1.57056324020175,-0.070563240201748,-3.34141291677952
6.7,1.56742977012231,-0.067429770122307,-2.61394046247005
6.8,1.56206611074041,-0.062066110740407,-1.26697272062302
6.9,1.5545994926899,-0.054599492689902,0.502054765820503
7,1.54479280946385,-0.044792809463849,2.38553322851658
7.1,1.53219570373441,-0.032195703734414,4.23371680080891
7.2,1.51767601828761,-0.017676018287609,7.33664408326149
7.3,1.50304494999996,-0.003044949999959,10.8573205769062
7.4,1.48856151427281,0.011438485727188,14.7534936666489
7.5,1.4743619821995,0.025638017800497,18.0991396307945
7.6,1.46111729380293,0.038882706197075,20.407073199749
7.7,1.44871065920802,0.051289340791979,23.9881038665771
7.8,1.4378247613499,0.062175238650103,26.5921622514725
7.9,1.42892695327769,0.07107304672231,28.8968741893768
8,1.42279257512892,0.077207424871078,29.5587718486786
8.1,1.41954778081232,0.080452219187685,30.9097021818161
8.2,1.41941465479579,0.080585345204208,30.856266617775
8.3,1.42244465365752,0.077555346342476,30.3043782711029
8.4,1.42872475440566,0.071275245594336,28.6075055599213
8.5,1.43773988353762,0.062260116462376,26.5341997146606
8.6,1.44946533560618,0.050534664393825,24.4592323899269
8.7,1.46318027302547,0.036819726974534,20.4560205340385
8.8,1.47844452993547,0.021555470064527,17.0610725879669
8.9,1.49393232095225,0.006067679047751,13.1422281265259
9,1.5100387997636,-0.010038799763598,9.41167101264
9.1,1.52577104771236,-0.02577104771236,5.75384311378002
9.2,1.54192461623292,-0.041924616232917,3.14317420125008
9.3,1.55714719027841,-0.057147190278406,-0.064335099887103
9.4,1.56923700288065,-0.069237002880654,-2.88649965077639
9.5,1.57795991796837,-0.077959917968368,-5.13126701116562
9.6,1.58345120535034,-0.083451205350337,-6.30452632904053
9.7,1.58599656074117,-0.085996560741169,-6.55480027198792
