time,hat{D_{w}},theta,e_{theta},tau_{q}
0,0.010433124880204,0,0.174532925199433,97.5054144859314
0.1,0.273570327559088,0.01492848793476,0.159604437264673,99.6753215789795
0.2,-0.124977635394011,0.037111320220056,0.137421604979377,99.3683338165283
0.3,-0.49839095401382,0.054692285855646,0.119840639343787,99.0248262882233
0.4,-0.905271494908508,0.066100433901961,0.108432491297472,99.11869764328
0.5,-1.32404327591295,0.072173795715988,0.102359129483445,98.7012624740601
0.6,-1.74481533665714,0.074734323607031,0.099798601592403,97.9570508003235
0.7,-2.16338839299673,0.076473067563823,0.09805985763561,98.1999337673187
0.8,-2.57165025882679,0.080261776083112,0.094271149116321,98.8002359867096
0.9,-2.96395585827583,0.088482824273192,0.086050100926242,98.9664614200592
1,-3.33483808345482,0.102522267922782,0.072010657276651,98.7364590167999
1.1,-3.68157564708797,0.122621514792397,0.051911410407036,98.5880017280579
1.2,-3.98642825801053,0.147419515004128,0.027113410195305,68.9227163791657
1.3,-4.23829286651018,0.169112885406829,0.005420039792604,17.6822692155838
1.4,-4.50437923068439,0.181989858212759,-0.007456933013326,-13.1205812096596
1.5,-4.78167681444024,0.187846176268021,-0.013313251068589,-28.3680856227875
1.6,-5.03738249193797,0.190487585520294,-0.015954660320861,-22.9236990213394
1.7,-5.25952949077514,0.191141951760835,-0.016609026561402,-29.649555683136
1.8,-5.45162721443858,0.189908443966732,-0.015375518767299,-23.7902998924255
1.9,-5.62050223252702,0.186995150696604,-0.012462225497171,-19.7022840380669
2,-5.7680514563183,0.183716804296695,-0.009183879097262,15.0117352604866
2.1,-5.88410715216755,0.180600721703247,-0.006067796503814,7.44379013776779
2.2,-5.95823207403822,0.17759770932632,-0.003064784126887,17.2503530979157
2.3,-6.01882117271002,0.175159928774867,-0.000627003575434,25.4118919372559
2.4,-6.06326459345145,0.173588055012982,0.000944870186451,25.0747859477997
2.5,-6.07453665690616,0.173194974859024,0.001337950340409,34.1992765665054
2.6,-6.0462458909142,0.173872952005182,0.000659973194251,24.9605163931847
2.7,-5.98676221560247,0.175407673720066,-0.000874748520633,23.9244535565376
2.8,-5.90697607759553,0.177309787488645,-0.002776862289212,4.12823706865311
2.9,-5.80501720322036,0.179300085803336,-0.004767160603903,-1.31781622767448
3,-5.6848226501208,0.180824845039761,-0.006291919840328,-2.85844765603542
3.1,-5.54642877004452,0.181502395952766,-0.006969470753334,6.8075567483902
3.2,-5.38704755028674,0.1812598755507,-0.006726950351267,8.17912593483925
3.3,-5.20638856730162,0.18009490690599,-0.005561981706557,12.2992105782032
3.4,-5.00791532040114,0.177987549387858,-0.003454624188425,26.6330152750015
3.5,-4.79706329869787,0.175300692103505,-0.000767766904072,29.9084931612015
3.6,-4.57183699591481,0.172247706136712,0.002285219062721,40.3882175683975
3.7,-4.33306117085026,0.168978236776862,0.005554688422571,51.3616502285004
3.8,-4.08451944436991,0.166075553953426,0.008457371246007,63.4433329105377
3.9,-3.82706972125619,0.163769236554525,0.010763688644908,70.4926371574402
4,-3.56281373123007,0.162544568154287,0.011988357045146,73.2007384300232
4.1,-3.29217474570508,0.162816076173902,0.011716849025531,68.8931822776794
4.2,-3.01466253498824,0.164609019583261,0.009923905616172,60.2451682090759
4.3,-2.73334710162791,0.167582393566578,0.006950531632855,49.4365572929382
4.4,-2.45017847407967,0.171181772090197,0.003351153109236,33.7204694747925
4.5,-2.16964016874563,0.175000570125598,-0.000467644926165,13.088758289814
4.6,-1.89295289128409,0.178895173538599,-0.004362248339166,-5.82819506525993
4.7,-1.6195924793521,0.182420720900336,-0.007887795700903,-20.504204928875
4.8,-1.35366600258342,0.18535121327597,-0.010818288076537,-26.8575102090836
4.9,-1.09406059195787,0.187387941006754,-0.012855015807321,-35.5661749839783
5,-0.846236213774618,0.188391389924074,-0.013858464724641,-34.103062748909
5.1,-0.605410458826695,0.188262029870523,-0.01372910467109,-32.3270559310913
5.2,-0.378146352605003,0.186625123929952,-0.012092198730519,-22.9471415281296
5.3,-0.165778404599824,0.1839099523234,-0.009377027123967,-15.0446772575378
5.4,0.033022240032582,0.180613200892998,-0.006080275693565,0.024588499218226
5.5,0.216797619364641,0.177323963747215,-0.002791038547782,14.6798267960548
5.6,0.38633630697052,0.174590981821879,-5.80566224461232E-05,34.0395867824554
5.7,0.546686592642323,0.172666615531332,0.001866309668101,43.4049278497696
5.8,0.689479692211877,0.171318713790817,0.003214211408616,50.2935647964478
5.9,0.81783990477691,0.170560826018288,0.003972099181145,48.2519716024399
6,0.929851107200328,0.170383428626144,0.004149496573289,54.4702649116516
6.1,1.03099839340761,0.170799633408279,0.003733291791154,48.1992363929749
6.2,1.10583063558225,0.171787981267514,0.002744943931919,41.2655383348465
6.3,1.18435145536155,0.172963792611719,0.001569132587714,31.4657300710678
6.4,1.24525379244952,0.174082756648179,0.000450168551254,29.1582643985748
6.5,1.28352714984428,0.175096794158864,-0.000563868959431,24.4823351502419
6.6,1.30256539378341,0.175822362454827,-0.001289437255394,19.7551533579826
6.7,1.30682477351407,0.17613594185733,-0.001603016657897,21.7048808932304
6.8,1.30861367147651,0.176031774653451,-0.001498849454018,16.4298310875893
6.9,1.30870935843834,0.175473503839432,-0.000940578639999,23.2574120163918
7,1.29526040730114,0.174662406360111,-0.000129481160678,27.3937463760376
7.1,1.25850154506873,0.173770075109821,0.000762850089612,35.9237462282181
7.2,1.21030698226973,0.172949465579032,0.001583459620401,35.9442204236984
7.3,1.15647036658706,0.172381505575411,0.002151419624022,39.7558569908142
7.4,1.10281567865646,0.172273066377781,0.002259858821652,39.8983955383301
7.5,1.05266362163326,0.172745099227099,0.001787825972334,34.428471326828
7.6,0.999818008590404,0.173771264243779,0.000761660955654,30.1177620887756
7.7,0.940647557606929,0.17526549892456,-0.000732573725127,13.9083117246628
7.8,0.872624510257665,0.177152580693955,-0.002619655494522,6.88959211111069
7.9,0.798135041523933,0.179576239844597,-0.005043314645164,-5.6919738650322
8,0.728383341040615,0.182268347040819,-0.007735421841386,-13.879606127739
8.1,0.663455365862553,0.184693677499478,-0.010160752300045,-23.5299065709114
8.2,0.611507992909593,0.186398140420512,-0.011865215221079,-33.5348397493362
8.3,0.561595624882767,0.18726416643379,-0.012731241234357,-34.3856573104858
8.4,0.514011079112045,0.187022460076973,-0.012489534877541,-31.698277592659
8.5,0.45828955953528,0.185268028682328,-0.010735103482895,-16.6284799575806
8.6,0.401442898682192,0.182434528117674,-0.007901602918241,-9.39280688762665
8.7,0.353044778251643,0.178840001703161,-0.004307076503728,8.62058028578758
8.8,0.316500297148369,0.174926226593331,-0.000393301393898,32.1739435195923
8.9,0.297739070867163,0.171479947264792,0.003052977934641,50.8048415184021
9,0.286458553484788,0.168245813246897,0.006287111952536,66.4234161376953
9.1,0.265741106780381,0.165083646445125,0.009449278754308,78.6517679691315
9.2,0.248967353669335,0.162583697588416,0.011949227611017,86.2429440021515
9.3,0.238742658528238,0.161086006972425,0.013446918227008,89.9533331394196
9.4,0.245511661142111,0.161276611214962,0.013256313984471,87.6536071300507
9.5,0.268565162078603,0.163614421697001,0.010918503502432,75.6145775318146
9.6,0.30084348614628,0.167407036042026,0.007125889157407,53.8918852806091
9.7,0.334833004819712,0.171812813531956,0.002720111667477,35.8696341514587
9.8,0.366570733439439,0.175758683150851,-0.001225757951418,11.5168839693069
9.9,0.395631964533307,0.179299244772578,-0.004766319573145,-8.21734517812729
