time,hat{D_{r}},psi,e_{psi},tau_{r}
0,0,0,1.0471975511966,91.0225749015808
0.1,0.489376940972184,0.027342071896737,1.01985547929986,92.1476244926453
0.2,-0.632993380537139,0.086856999423166,0.960340551773431,96.1970388889313
0.3,-1.91097702692703,0.153220522277773,0.893977028918825,97.0371723175049
0.4,-3.20473511914741,0.216345662238071,0.830851888958527,98.5791265964508
0.5,-4.45207791581641,0.273171158078826,0.774026393117772,99.3814468383789
0.6,-5.65042757227031,0.322580371944686,0.724617179251911,97.9442059993744
0.7,-6.64036471251209,0.364694842442116,0.682502708754482,96.4800357818604
0.8,-7.6112363879703,0.400503627124379,0.646693924072218,96.2169826030731
0.9,-8.30488187458092,0.43147408999881,0.615723461197788,97.4918603897095
1,-9.11388811325172,0.45944855814774,0.587748993048857,97.3620474338532
1.1,-9.84595981211429,0.486784365848689,0.560413185347909,96.1037456989288
1.2,-10.6077452971472,0.516851883349061,0.530345667847537,92.495185136795
1.3,-11.1274776774354,0.554513817944757,0.49268373325184,89.0393614768982
1.4,-11.6737371344434,0.606427647116887,0.440769904079711,75.1047015190125
1.5,-11.6495285578729,0.672073363496772,0.375124187699826,47.7579683065414
1.6,-11.6680885146419,0.7386443833053,0.308553167891298,18.7383145093918
1.7,-11.6180818409667,0.800870100422427,0.246327450774171,1.860186830163
1.8,-11.4688324919369,0.858039905333999,0.189157645862598,-3.59447300434113
1.9,-11.2063483836773,0.909942102192242,0.137255449004356,-20.0048550963402
2,-10.8284273641025,0.955568420235284,0.091629130961314,-38.0912452936172
2.1,-10.4060918840177,0.994127296036898,0.0530702551597,-55.2500367164612
2.2,-9.93477682793606,1.02486503807583,0.022332513120766,-59.744119644165
2.3,-9.31121259827979,1.04794037644463,-0.000742825248027,-64.4152164459229
2.4,-8.55871468997786,1.06462825164371,-0.017430700447112,-54.9489676952362
2.5,-7.90283463117329,1.07738449761831,-0.030186946421716,-48.1888800859451
2.6,-7.10641071627637,1.08587796251514,-0.038680411318542,-28.768652677536
2.7,-6.53203871766272,1.09008611712737,-0.042888565930768,-18.2360574603081
2.8,-5.92511037263904,1.09054307647676,-0.043345525280167,-13.5430753231049
2.9,-5.13031945980847,1.08914174381566,-0.041944192619064,-9.45675671100616
3,-4.49249922461628,1.08626414504213,-0.039066593845529,-2.8451444581151
3.1,-3.81023268727655,1.08270768867062,-0.035510137474021,4.78349924087524
3.2,-3.19419759630743,1.07873842160693,-0.031540870410328,4.39587868750095
3.3,-2.57149682577685,1.0741806623009,-0.026983111104299,15.4383897781372
3.4,-2.0697790347643,1.06870423983334,-0.021506688636739,21.9060018658638
3.5,-1.48414148072397,1.06236041516381,-0.015162863967212,21.9737231731415
3.6,-1.06036857264302,1.05577028843918,-0.008572737242586,20.0779214501381
3.7,-0.604129255489002,1.04931170331579,-0.002114152119188,4.97826337814331
3.8,-0.216252666207255,1.04337365433141,0.003823896865191,-4.51049134135246
3.9,0.191638723597071,1.03758799526739,0.009609555929204,-17.84508228302
4,0.642743763559028,1.03297645146913,0.014221099727472,-12.894195318222
4.1,0.97647075151272,1.02920439977724,0.017993151419358,-4.70886081457138
4.2,1.34575207044779,1.02609211705482,0.021105434141773,-8.32790434360504
4.3,1.56233117913846,1.02351526587851,0.023682285318084,-2.09437720477581
4.4,1.86901321880371,1.02149523392254,0.025702317274058,4.92523908615112
4.5,2.1889595827668,1.01991264064228,0.02728491055432,-1.36363944038749
4.6,2.47759167261163,1.0187785915548,0.028418959641802,-0.905651226639748
4.7,2.79793264768175,1.01758849998706,0.029609051209543,2.48777866363525
4.8,3.10860514602423,1.01548229324385,0.03171525795275,14.4076406955719
4.9,3.45439142716106,1.01634455957024,0.030852991626355,23.4553411602974
5,3.86100506646326,1.01867400969682,0.028523541499777,36.8334323167801
5.1,4.0539946227669,1.02076449671056,0.026433054486042,40.0683134794235
5.2,4.26164303455372,1.02329885092267,0.023898700273932,38.2992118597031
5.3,4.55637586540124,1.02543932372891,0.021758227467687,38.0553752183914
5.4,4.89191894709217,1.02715022060501,0.020047330591587,30.9915781021118
5.5,5.22696860399521,1.02929951722068,0.01789803397592,36.8911683559418
5.6,5.50175624022308,1.03217712271361,0.015020428482986,22.0874771475792
5.7,5.81594139658996,1.03622428503975,0.010973266156845,21.4957520365715
5.8,6.05150729800395,1.04140429681948,0.00579325437712,14.7729188203812
5.9,6.28584558027973,1.0479058861305,-0.000708334933905,7.94455111026764
6,6.52276775123194,1.05414445331585,-0.006946902119253,-5.29256351292133
6.1,6.65444030337826,1.05917014787592,-0.011972596679318,-16.894993185997
6.2,6.72877308460088,1.06414141904164,-0.016943867845044,-23.0320319533348
6.3,6.83201814225702,1.07040357405764,-0.023206022861043,-47.6987689733505
6.4,6.89043518728658,1.07561146403284,-0.028413912836238,-51.7223238945007
6.5,6.82120830102982,1.07965291030942,-0.032455359112826,-49.7762888669968
6.6,6.72891746523511,1.08189060769066,-0.034693056494062,-55.6962668895721
6.7,6.555471286811,1.08253998207035,-0.035342430873752,-58.893483877182
6.8,6.32037654490181,1.08194580219016,-0.034748250993558,-49.6206223964691
6.9,5.9964519648478,1.08025048792724,-0.033052936730641,-44.7289437055588
7,5.65822931400024,1.07788689003559,-0.030689338838989,-36.5938901901245
7.1,5.15924911517256,1.07466233478332,-0.027464783586724,-27.3789584636688
7.2,4.66042880105523,1.0705763150095,-0.023378763812898,-20.9998741745949
7.3,4.12452257633499,1.06496739939521,-0.017769848198611,-10.5102695524693
7.4,3.47914033978521,1.05725061453042,-0.010053063333824,-2.4303263053298
7.5,2.86367197135043,1.04867609561343,-0.001478544416828,8.72708857059479
7.6,2.15898174828222,1.04004560842627,0.007151942770324,30.7415902614593
7.7,1.44895130540005,1.03285904715153,0.014338504045068,40.9615337848663
7.8,0.803614515669702,1.0266294196912,0.020568131505403,37.2323602437973
7.9,0.075257976495766,1.02118304819571,0.026014503000884,50.6472229957581
8,-0.530737195715942,1.01737526697383,0.029822284222769,49.6587127447128
8.1,-1.25356158056726,1.01497936856405,0.032218182632546,44.7142362594605
8.2,-1.85000493343385,1.01384737781908,0.033350173377517,50.3900229930878
8.3,-2.37003867914975,1.01403892635402,0.033158624842578,44.8984146118164
8.4,-2.8745417165625,1.01547465481907,0.031722896377525,36.4173203706741
8.5,-3.2922686184175,1.01789891395873,0.029298637237873,31.7967295646667
8.6,-3.69803082288922,1.0212652255412,0.025932325655402,26.1513561010361
8.7,-3.93060344094176,1.02626437867672,0.020933172519882,16.0634502768517
8.8,-4.11686598007174,1.03273718208328,0.01446036911332,7.97490254044533
8.9,-4.25604505652984,1.04008277520989,0.007114775986705,1.02851707488298
9,-4.28875773845628,1.04758008609008,-0.000382534893484,-3.6207128316164
9.1,-4.25094011121504,1.05480077925085,-0.007603228054255,-17.3243343830109
9.2,-4.08585801579974,1.06191706489198,-0.014719513695377,-20.1141089200973
9.3,-3.90429224310547,1.06989687053092,-0.022699319334326,-33.8114053010941
9.4,-3.6300412806353,1.07773199340654,-0.030534442209942,-35.4300856590271
9.5,-3.30919755884179,1.08280057575191,-0.035603024555317,-44.4665044546127
9.6,-2.92711890702044,1.08568970470159,-0.038492153504988,-50.1240134239197
9.7,-2.44569005536195,1.08713050104735,-0.039932949850749,-50.6141245365143
9.8,-2.11447802511823,1.08662128078252,-0.039423729585924,-43.5346305370331
