time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
0,0.010463032721793,0,0,1.0471975511966,99.9696016311646
0.1,0.966673526728987,0.327775946244794,0.030422006440353,1.01677554475625,99.9134421348572
0.2,0.378637583636676,-0.847196450327636,0.100002555328823,0.947194995867775,99.9744474887848
0.3,-0.34244535410442,-2.03041255808259,0.184234762373014,0.862962788823584,99.9780416488647
0.4,-0.99228206858687,-3.24708870459399,0.271115616363854,0.776081934832743,99.9872982501984
0.5,-1.58648729073205,-4.47326791132521,0.356225570557009,0.690971980639589,99.9707162380219
0.6,-2.15174026217068,-5.66728685453971,0.438244680810024,0.608952870386574,99.9586939811707
0.7,-2.69742095349587,-6.79551747966261,0.517031986048454,0.530165565148143,99.9454200267792
0.8,-3.22494461211202,-7.83451478077304,0.592916895146274,0.454280656050324,99.9269843101501
0.9,-3.73290245088084,-8.77001887404191,0.666464191988567,0.38073335920803,99.9679207801819
1,-4.21939686550831,-9.64460297530778,0.738360517133161,0.308837034063437,99.7429251670837
1.1,-4.68240523201058,-10.2459807563579,0.80932142247737,0.237876128719227,99.6134519577026
1.2,-5.12085186143753,-10.5750044631556,0.880042983118694,0.167154568077903,98.2801914215088
1.3,-5.63643312919612,-11.008385376769,0.946744775909808,0.10045277528679,40.5814915895462
1.4,-6.08942823089012,-11.4178692280739,0.989666317430126,0.057531233766471,24.0613773465157
1.5,-6.3921837447562,-11.6284698936779,1.01124808617812,0.035949465018479,22.8146687150002
1.6,-6.66249276182402,-11.6983342226105,1.02165310834081,0.025544442855789,23.7863555550575
1.7,-6.91503870047232,-11.6748297396665,1.02651882754782,0.020678723648779,21.7675775289536
1.8,-7.14337159761906,-11.486975878628,1.02911459703992,0.01808295415668,22.4989280104637
1.9,-7.34977520363625,-11.1968749326172,1.03094639623854,0.016251154958054,19.1929280757904
2,-7.51888105199384,-10.8203821860413,1.0324051369441,0.0147924142525,17.1995058655739
