time,hat{D_{v}},psi,e_{psi},tau_{r}
0,0.010463032721793,0,1.0471975511966,99.9774932861328
0.1,0.949652026413704,0.029814473090772,1.01738307810583,100
0.2,0.243106804099214,0.085496652500116,0.961700898696482,100
0.3,-0.52190639742532,0.132346400647835,0.914851150548762,100
0.4,-1.18617025767247,0.154191396831842,0.893006154364755,99.0365505218506
0.5,-1.79492843466097,0.142685336196245,0.904512215000352,93.8747823238373
0.6,-2.38516247366146,0.096766589531154,0.950430961665443,87.6993238925934
0.7,-2.83960257748454,0.026432415571486,1.02076513562511,84.7885847091675
0.8,-3.24623773262393,-0.053172718336357,1.10037026953295,84.1250360012054
0.9,-3.66856097263063,-0.129301707635886,1.17649925883248,83.4342420101166
1,-4.08848791413051,-0.191976437163543,1.23917398836014,83.0983400344849
1.1,-4.48122693812517,-0.23067129465102,1.27786884584762,89.3454551696777
1.2,-4.84358485857895,-0.231586162370388,1.27878371356699,99.6548771858215
1.3,-5.12521977646281,-0.181804747939193,1.22900229913579,100
1.4,-5.57526621999468,-0.086451422281661,1.13364897347826,100
1.5,4.27447619077715,0.03270174151191,1.01449580968469,89.5414113998413
1.6,11.6510545568078,0.152701741511911,0.894495809684687,77.0620226860046
1.7,12.1477641949945,0.272701741511911,0.774495809684687,74.3039131164551
1.8,12.1027932252318,0.392701741511909,0.654495809684689,67.3774242401123
1.9,11.9326507532409,0.512629733126307,0.534567818070291,7.56101533770561
2,9.52279671139623,0.629952671195552,0.417244880001045,23.9845603704453
2.1,6.82207210794813,0.743639232820966,0.303558318375631,37.5377088785171
2.2,1.88409603765488,0.85044824676831,0.196749304428288,46.7721670866013
2.3,-5.81467214728431,0.941192446070609,0.106005105125988,1.16210300475359
2.4,-8.01064123759243,0.998176377977698,0.049021173218899,-5.18799051642418
2.5,-8.00385556579475,1.02324149781309,0.02395605338351,13.1682574748993
2.6,-7.87656399051227,1.02892749030644,0.01827006089016,54.2392253875732
2.7,-7.73605324097137,1.02600041782307,0.021197133373526,64.6591603755951
2.8,-7.58575846628381,1.02094336587986,0.026254185316734,63.4342074394226
2.9,-7.4203945205574,1.01618183982106,0.031015711375539,70.1408505439758
3,-7.21251439749067,1.0140310933733,0.033166457823299,75.5099296569824
3.1,-6.99079124491938,1.01716095365914,0.030036597537454,59.9912583827972
3.2,-6.76706539646602,1.02391849610285,0.02327905509375,38.4712994098663
3.3,-6.51431426833008,1.03222959472306,0.01496795647354,11.9905427098274
3.4,-6.23187981632764,1.04135658723259,0.005840963964008,7.71837383508682
3.5,-5.93282206065371,1.05111157456967,-0.003914023373075,-20.44747620821
3.6,-5.60581063967093,1.06145589835944,-0.014258347162838,-34.9259167909622
3.7,-5.26821793908564,1.07255631477598,-0.025358763579378,-41.4532750844955
3.8,-4.9253619229918,1.0829266973126,-0.035729146116002,-46.1225360631943
3.9,-4.56972179780928,1.09150990238485,-0.044312351188252,-59.4169795513153
4,-4.20277325327889,1.09745858386457,-0.05026103266797,-44.5318400859833
4.1,-3.84052638084173,1.09925819683778,-0.052060645641186,-54.2512357234955
4.2,-3.47303105982853,1.09400248530568,-0.046804934109084,-45.0548380613327
4.3,-3.07956745573516,1.08287888149219,-0.035681330295588,-18.5256004333496
4.4,-2.67306412995894,1.07036297170418,-0.023165420507579,1.68879888951778
4.5,-2.29261380235778,1.05908821843813,-0.011890667241537,6.96736797690392
4.6,-1.92119725600846,1.04895334533537,-0.001755794138771,25.7211655378342
4.7,-1.57523158762759,1.03854613462197,0.008651416574629,30.2593529224396
4.8,-1.22680273541367,1.02746953053005,0.019728020666547,39.2735362052917
4.9,-0.866509700338785,1.01892730054803,0.028270250648565,53.2548308372498
5,-0.551703119434589,1.01551999123512,0.031677559961476,57.5317680835724
5.1,-0.274145394169494,1.0137680672564,0.0334294839402,56.1118543148041
5.2,0.00678818427689,1.0118723710416,0.035325180155,66.6645288467407
5.3,0.278153386255018,1.01206581629437,0.035131734902228,51.6100406646729
5.4,0.519890410091038,1.01499874871675,0.032198802479843,45.5385208129883
5.5,0.736123467872017,1.02049144551218,0.026706105684417,32.0830315351486
5.6,0.922255015045509,1.02725219702988,0.019945354166718,26.0087549686432
5.7,1.09215421369754,1.03436258547939,0.01283496571721,11.5252628922462
5.8,1.24028727506415,1.04152925733802,0.00566829385858,-4.83119711279869
5.9,1.36699149742852,1.04846990886687,-0.001272357670277,-18.9975455403328
6,1.47166240907274,1.05593322022224,-0.008735669025643,-31.4754545688629
6.1,1.5569149038376,1.06386517026736,-0.016667619070757,-40.3983175754547
6.2,1.61811160085214,1.07268800643943,-0.025490455242836,-45.5012857913971
6.3,1.64480344373882,1.08194887518832,-0.034751323991726,-58.3813607692719
6.4,1.65812282051232,1.09112368399796,-0.043926132801365,-66.0043060779572
6.5,1.65616911522538,1.10018200919317,-0.05298445799657,-67.4579381942749
6.6,1.64127325535698,1.10904169636818,-0.061844145171582,-67.9673612117767
6.7,1.59502485390821,1.11660252993154,-0.069404978734943,-70.2223122119904
6.8,1.53151484547529,1.12124426563452,-0.074046714437918,-64.1047537326813
6.9,1.44632591639616,1.12085752615397,-0.073659974957377,-63.5879576206207
7,1.36199608437509,1.1138017628093,-0.066604211612702,-50.9694993495941
7.1,1.29174616615185,1.10202342691596,-0.054825875719366,-29.8184186220169
7.2,1.19406261567697,1.08774844771253,-0.040550896515937,-12.696385383606
7.3,1.10259978034589,1.07094488908845,-0.023747337891856,3.95527146756649
7.4,1.0114844647973,1.05402121367164,-0.006823662475042,34.3872487545013
7.5,0.906433366549585,1.03883300142498,0.008364549771615,40.2044773101807
7.6,0.800477659886441,1.02539653728888,0.021801013907713,64.730703830719
7.7,0.682078977278952,1.01315482137402,0.034042729822582,82.3720633983612
7.8,0.570299694207552,1.00090647333434,0.046291077862254,81.1705470085144
7.9,0.471664931955222,0.988410745335754,0.058786805860843,79.2694687843323
8,0.394432327284958,0.97724055275935,0.069956998437247,88.3907377719879
8.1,0.328346440816815,0.97074510879446,0.076452442402138,80.1936984062195
8.2,0.274875697308974,0.972354684142835,0.074842867053763,81.2004327774048
8.3,0.21525352709138,0.983703942042212,0.063493609154386,59.5984280109406
8.4,0.145528279578346,1.00078809869713,0.046409452499469,31.0027837753296
8.5,0.077541569351076,1.01940020120703,0.027797349989565,6.38636201620102
8.6,0.034416462374864,1.03639841355176,0.010799137644835,-15.4921352863312
8.7,0.031229220447512,1.05009341629983,-0.002895865103232,-34.7482264041901
8.8,0.061633689714323,1.06194660148372,-0.014749050287118,-47.1248656511307
8.9,0.10252104254258,1.07411421233219,-0.026916661135594,-58.0465793609619
9,0.139094227211382,1.08608032987561,-0.038882778679013,-59.2253565788269
9.1,0.201384193844871,1.09588763258937,-0.048690081392774,-66.2139892578125
9.2,0.283898926048208,1.10244680513518,-0.055249253938584,-54.7642230987549
9.3,0.383600379681067,1.10517792599209,-0.057980374795491,-54.311341047287
9.4,0.503697229260897,1.10382673563821,-0.056629184441614,-38.7467950582504
9.5,0.642598272165793,1.09803868577857,-0.050841134581968,-38.4307324886322
9.6,0.805041493144042,1.08773464852296,-0.040537097326364,-19.4220975041389
9.7,0.991678354279413,1.07466152468035,-0.027463973483755,-7.40607082843781
9.8,1.20492585682954,1.06188533233993,-0.014687781143334,9.82445701956749
9.9,1.41960471156757,1.0522234926044,-0.005025941407802,13.5110318660736
10,1.62947976721732,1.0453205003737,0.001877050822902,20.1885387301445
10.1,2.07678069156386,1.06345043748868,1.03094466490452,100
10.2,2.30866169914931,1.11879081414883,0.975604288244363,99.516624212265
10.3,2.45759827643152,1.1952299650181,0.899165137375092,100
10.4,2.6386900596116,1.28346937207487,0.810925730318323,97.2526907920837
10.5,2.85607483063861,1.37873074014445,0.715664362248745,94.892030954361
10.6,3.09189303887593,1.47886477443936,0.615530327953832,91.5983259677887
10.7,3.32691764615892,1.58226895348503,0.512126148908162,86.9650304317474
10.8,3.5570636500419,1.6867009634909,0.407694138902292,82.3248386383057
10.9,3.78562595692632,1.79004293023615,0.304352172157047,76.7780780792236
11,3.96808702684747,1.888991837142,0.205403265251191,52.6635229587555
11.1,4.10850409912069,1.97242239020714,0.121972712186056,19.4056808948517
11.2,4.28635732611882,2.02964383305569,0.064751269337502,4.63829413056374
11.3,4.52515962454285,2.06081198633946,0.033583116053732,11.1506506800652
11.4,4.75237945406504,2.07426736956815,0.020127732825049,19.1246569156647
11.5,4.95732651166916,2.07569203989826,0.018703062494934,41.6365444660187
11.6,5.1312637279628,2.07039576878992,0.023999333603273,42.8724437952042
11.7,5.28654734075876,2.06153953748016,0.032855564913036,59.0744078159332
11.8,5.41288225811941,2.05181600498843,0.042579097404763,58.1087708473206
11.9,5.51856845130984,2.04401428124229,0.050380821150909,59.0531826019287
12,5.59274434745333,2.04039313462577,0.054001967767427,63.0050420761108
12.1,5.64208614746316,2.04395551405526,0.05043958833793,51.3515889644623
12.2,5.63402435796128,2.05530580128058,0.039089301112618,28.4774988889694
12.3,5.58565814667836,2.06991274337009,0.024482359023102,8.50111395120621
12.4,5.5097572177092,2.08422660449749,0.0101684978957,-14.9031549692154
12.5,5.42597702925059,2.09693489504734,-0.002539792654148,-34.5613032579422
12.6,5.32374684664586,2.1088888114933,-0.014493709100103,-56.2409460544586
12.7,5.18185456027796,2.12096445693333,-0.026569354540136,-54.8017561435699
12.8,5.0117530010301,2.13249264002168,-0.038097537628486,-64.2090678215027
12.9,4.80627694393271,2.14270776661023,-0.048312664217031,-70.6420302391052
13,4.57317241286154,2.14987792578512,-0.055482823391926,-68.8766598701477
13.1,4.31403747138156,2.15286194612721,-0.058466843734018,-52.509617805481
13.2,4.02816268277358,2.15016165502292,-0.055766552629722,-51.9052624702454
13.3,3.72866295974512,2.14154457996308,-0.047149477569887,-28.4846216440201
13.4,3.41273071260465,2.1284387206991,-0.034043618305904,-10.6557905673981
13.5,3.09091190612636,2.11352402980436,-0.019128927411162,9.42691564559937
13.6,2.74685929507913,2.10012353244403,-0.005728430050836,18.3623313903809
13.7,2.37052660912,2.08985784585605,0.00453725653715,34.9656641483307
13.8,1.96047289271478,2.08224240923019,0.01215269316301,35.0594282150269
13.9,1.55315151450099,2.0758205314982,0.018574570894994,44.9758887290955
14,1.13595996491218,2.07308271080579,0.021312391587409,42.0843839645386
14.1,0.699864033370633,2.07431947550325,0.020075626889946,37.7835363149643
14.2,0.253299291039269,2.07900699966048,0.015388102732719,23.5876023769379
14.3,-0.202819942395182,2.08604183593695,0.008353266456248,4.35577519237995
14.4,-0.665436943347551,2.09344377004481,0.000951332348385,-10.5531677603722
14.5,-1.12231393160275,2.10033418938589,-0.005939086992695,-21.7432901263237
14.6,-1.57170628624449,2.10637742372991,-0.011982321336712,-36.3343060016632
14.7,-2.02124239575357,2.11138545482196,-0.016990352428767,-29.5415878295898
14.8,-2.45729034603204,2.11419164505567,-0.01979654266248,-42.1578586101532
14.9,-2.88243705446134,2.11529914657544,-0.020904044182243,-27.2075325250626
15,-3.3000811494106,2.1143156851966,-0.019920582803404,-26.1232703924179
15.1,-3.69334517389645,2.11069329993678,-0.016298197543582,-8.77037197351456
15.2,-4.07541388848229,2.10533897186861,-0.010943869475418,3.47417369484901
15.3,-4.43719781814978,2.09761489410802,-0.003219791714824,23.8538175821304
15.4,-4.77115834188216,2.08806411507344,0.006330987319751,41.0662412643433
15.5,-5.07859456236653,2.07815671797888,0.016238384414312,57.3500573635101
15.6,-5.36712839997864,2.06948577455554,0.024909327837654,68.5367465019226
15.7,-5.62987598107763,2.06150899538583,0.032886107007368,77.3869335651398
15.8,-5.85801171208621,2.05565804008748,0.03873706230571,84.3965709209442
15.9,-6.05142711604992,2.0540824418712,0.040312660521995,74.4649052619934
16,-6.2193089964729,2.05865251980273,0.035742582590468,59.0479493141174
16.1,-6.38940830140603,2.06805318243821,0.026341919954982,35.6109619140625
16.2,-6.52040015993025,2.07917020467111,0.01522489772209,21.1234539747238
16.3,-6.60793267322784,2.09109440437813,0.00330069801507,-22.4404275417328
16.4,-6.66489792074717,2.10357332779962,-0.009178225406428,-28.067684173584
16.5,-6.67882676236853,2.1178524185088,-0.0234573161156,-56.7516148090363
16.6,-6.67572313784536,2.13378629158675,-0.039391189193557,-66.4707481861115
16.7,-6.64581095364877,2.15065187048106,-0.056256768087867,-80.9122204780579
16.8,-6.58160875675588,2.16728118387202,-0.072886081478829,-88.8934850692749
16.9,-6.49540907920443,2.18249640627752,-0.088101303884324,-90.528267621994
17,-6.38607239712545,2.19395918759944,-0.099564085206243,-86.359578371048
17.1,-6.25383895725638,2.19839086638308,-0.103995763989885,-75.6221473217011
17.2,-6.07802649336616,2.19353561748376,-0.099140515090564,-54.7690808773041
17.3,-5.86609420247263,2.17969202570424,-0.085296923311042,-36.5012854337692
17.4,-5.61189786481641,2.16030471060734,-0.065909608214148,-19.9371784925461
17.5,-5.34610571243089,2.13747516200348,-0.043080059610286,3.13714370131493
17.6,-5.04028333017889,2.11460657474426,-0.02021147235107,40.6103610992432
17.7,-4.73185254625767,2.09617152621047,-0.00177642381728,41.2657380104065
17.8,-4.42278819317054,2.08236966550535,0.012025436887841,58.5141718387604
17.9,-4.10764829561851,2.07248531412401,0.021909788269183,60.8538687229157
18,-3.77910400862971,2.06533668054034,0.029058421852855,65.8348619937897
18.1,-3.44120084886744,2.06074086306732,0.033654239325879,62.604558467865
18.2,-3.08876419027157,2.05767449675159,0.036720605641609,65.7894909381866
18.3,-2.72473280603946,2.05796320660985,0.036431895783347,51.7598986625671
18.4,-2.36297986942696,2.06194419704095,0.032450905352242,38.3609116077423
18.5,-2.01427810246366,2.06851912906366,0.025875973329536,26.7147034406662
18.6,-1.66692992032086,2.07545109578096,0.018944006612234,21.1026042699814
18.7,-1.31337039730368,2.08225958242599,0.012135519967206,6.67923465371132
18.8,-0.968115369192334,2.08839977168537,0.005995330707828,2.69431192427874
18.9,-0.626519211204794,2.09334536097333,0.00104974141987,-4.48464155197144
19,-0.290785598304332,2.09683188230054,-0.002436779907344,-6.19605630636215
19.1,0.033864889584684,2.09877389920677,-0.004378796813579,-3.05105801671743
19.2,0.34914245158211,2.09914981208515,-0.00475470969196,1.46002862602472
19.3,0.652479708700348,2.09851962250806,-0.004124520114867,-1.25822480767965
19.4,0.941099252898736,2.09768689069355,-0.003291788300353,0.196342542767525
19.5,1.21427852289702,2.09712511372638,-0.002730011333184,0.073991715908051
19.6,1.46848310307766,2.0971305023902,-0.002735399997,-0.836250744760037
19.7,1.70353164082424,2.09801400941011,-0.003618907016916,-5.56855387985706
19.8,1.91927628255425,2.09990685714192,-0.005511754748727,-16.4815664291382
19.9,2.1145447972951,2.10326555126108,-0.008870448867883,-17.9610207676888
20,2.2865739944029,2.10741338891379,-0.536617062118897,-31.4907371997833
20.1,2.25556643931911,2.09191125469438,-0.521114927899479,-100
20.2,2.41665873931822,2.04963986310455,-0.478843536309658,-100
20.3,2.61326446729048,1.99596263106045,-0.425166304265551,-100
20.4,2.76572851615691,1.93916957812708,-0.368373251332185,-97.4694192409515
20.5,2.86919306962464,1.88450597488654,-0.313709648091644,-82.0590853691101
20.6,2.93131786486127,1.8339906489704,-0.263194322175503,-77.7571022510529
20.7,2.95859320986494,1.78732339695116,-0.21652707015626,-61.957848072052
20.8,2.95521052617435,1.74234290122841,-0.171546574433513,-52.4619936943054
20.9,2.96267497305382,1.69708938104331,-0.126293054248415,-26.943427324295
21,2.96918749558745,1.65600394148557,-0.085207614690673,-10.0762903690338
21.1,2.93831501980148,1.61942821736209,-0.048631890567191,6.10523968935013
21.2,2.92939549460264,1.58853754414138,-0.017741217346487,35.4533553123474
21.3,2.87021549311008,1.56747890056571,0.003317426229187,49.1683572530746
21.4,2.77397914074531,1.55346339778517,0.017332929009732,64.307314157486
21.5,2.68143439919654,1.54350717279703,0.027289153997865,63.2498502731323
21.6,2.59640811900409,1.53700904306023,0.033787283734669,62.7596855163574
21.7,2.48696854840673,1.53361676642216,0.037179560372738,58.4919273853302
21.8,2.38761808720856,1.53328184254117,0.037514484253724,47.2624927759171
21.9,2.28166458045283,1.53632486299516,0.034471463799732,47.6015210151672
22,2.16912844699796,1.54289036743143,0.027905959363466,23.2789278030395
22.1,2.04715805657875,1.55195807858053,0.018838248214362,15.4041111469269
22.2,1.92342601543373,1.56167987172959,0.009116455065307,-11.809828132391
22.3,1.80034335048974,1.57095677862245,-0.000160451827556,-18.7647387385368
22.4,1.68701549105641,1.57935061720063,-0.008554290405735,-21.7309415340424
22.5,1.57568179660745,1.58652978877621,-0.015733461981313,-34.6670508384705
22.6,1.46954096724709,1.59256014847323,-0.021763821678337,-38.1779730319977
22.7,1.36464476930931,1.59685707506938,-0.026060748274488,-34.5746666193008
22.8,1.26608340622841,1.59873290977538,-0.027936582980482,-30.6084126234055
22.9,1.17657088086638,1.59791230943342,-0.027115982638524,-23.241625726223
23,1.09578797402685,1.59412981404615,-0.023333487251252,-17.5324440002441
23.1,1.0294162752996,1.58773530560862,-0.016938978813723,-10.1750507950783
23.2,0.971914057239089,1.58059704621966,-0.009800719424766,5.49873523414135
23.3,0.922908587482934,1.57433579756209,-0.003539470767198,22.4885791540146
23.4,0.879941217536889,1.56904415775568,0.001752169039217,20.5024987459183
23.5,0.84990547426567,1.56523225927191,0.005564067522986,21.1073324084282
23.6,0.828288957395807,1.56315218812855,0.00764413866635,22.020497918129
23.7,0.810279495233262,1.56302670722028,0.007769619574619,16.8208330869675
23.8,0.792500912478029,1.56497398823698,0.005822338557916,8.42601954936981
23.9,0.77875616101197,1.56842417003231,0.002372156762588,-0.149009749293327
