time,hat{D_{u}},u,e_{u},tau_{u}
0,0,0.004,1.496,99.9649465084076
0.1,0.650895341794623,0.402844526272453,1.09715547372755,99.6891379356384
0.2,-0.529857384950586,0.788660666334289,0.711339333665711,99.6862828731537
0.3,-1.77448656379945,1.15502967045527,0.344970329544732,95.6088006496429
0.4,-3.27850955102178,1.34822119199704,0.151778808002955,41.7720437049866
0.5,-4.29977779332556,1.42099600238818,0.079003997611815,25.629723072052
0.6,-5.43611817047875,1.44692716942009,0.053072830579915,20.5742612481117
0.7,-6.51121749239672,1.45254291328139,0.04745708671861,18.9775839447975
0.8,-7.56559017415239,1.45151771619112,0.048482283808885,22.787381708622
0.9,-8.5459654387232,1.44706057041035,0.052939429589646,21.5542018413544
1,-9.52727324679168,1.44228501512713,0.057714984872871,21.2245747447014
1.1,-10.3616640756861,1.43780891014439,0.062191089855611,25.7162272930145
1.2,-11.1329246872211,1.43346571916455,0.066534280835452,21.6926977038383
1.3,-11.7968963209776,1.42990925008956,0.070090749910439,25.9798109531403
1.4,-12.3891338259979,1.42608960176929,0.073910398230712,27.9714554548264
1.5,-12.8724271916375,1.42272875352945,0.077271246470546,24.037578701973
1.6,-13.1866983131373,1.42073656123192,0.07926343876808,26.785746216774
1.7,-13.4486452925297,1.41989635102398,0.080103648976019,27.2502452135086
1.8,-13.6421933088135,1.41881252595286,0.081187474047137,24.166764318943
1.9,-13.6723925179262,1.41869720392978,0.081302796070218,26.1503010988235
2,-13.6032012138641,1.41925741226036,0.080742587739636,26.3223707675934
2.1,-13.4193657150784,1.4198405800333,0.080159419966696,27.2744864225388
2.2,-13.141297841223,1.42132973551026,0.078670264489745,26.4776915311813
2.3,-12.7816060386408,1.42424023431601,0.075759765683987,24.4738355278969
2.4,-12.3723249571778,1.4264043187985,0.073595681201496,24.5552241802216
2.5,-11.7951485801062,1.43009749918064,0.069902500819357,26.3325333595276
2.6,-11.1823024849978,1.43386188490962,0.066138115090382,23.3155220746994
2.7,-10.5329802897645,1.43790716532292,0.062092834677082,25.1654386520386
