time,hat{D_{w}},hat{D_{q}},theta,e_{theta},tau_{q}
0,0.010433124880204,0,0,0.174532925199433,98.3408153057098
0.1,0.261779003456594,-0.079647076645,0.015122420191409,0.159410505008025,100.019714606323
0.2,-0.157168388348791,-0.816371845519774,0.041958626484589,0.132574298714844,100.614735292709
0.3,-0.539100685671802,-1.86559154013027,0.070067968523681,0.104464956675752,101.027442946228
0.4,-0.944191888538846,-3.01465952746554,0.097692579960028,0.076840345239405,102.959721926376
0.5,-1.35475033862357,-4.16069009398486,0.124593933787841,0.049938991411592,104.160690093985
0.6,-1.7481337303469,-5.35350827550688,0.150209308509523,0.02432361668991,77.7117886958102
0.7,-2.10470896503401,-6.17171292185574,0.168588298318655,0.005944626880777,39.8706204164007
0.8,-2.49224575205217,-7.01387870072659,0.176207784146592,-0.001674858947159,17.0079258358413
0.9,-2.89412445284844,-7.8866139705959,0.177497673948425,-0.002964748748992,26.5330702718082
1,-3.27753756806145,-8.69090073521234,0.176847038141504,-0.002314112942071,20.1462436538468
1.1,-3.63386011819182,-9.53494499708393,0.17614433306437,-0.001611407864937,30.10958473469
1.2,-3.96509173025348,-10.145947398085,0.175723974462336,-0.001191049262903,36.8073940886444
1.3,-4.27224451332962,-10.6397833556921,0.17556511392213,-0.001032188722697,29.4246371717245
1.4,-4.55899098687726,-10.9762501919468,0.175495817240264,-0.000962892040832,29.7596898877819
1.5,-4.82283996286837,-11.2795156843956,0.175732458311943,-0.00119953311251,34.6978662021454
1.6,-5.06252200433027,-11.430098020688,0.175868028576607,-0.001335103377174,36.9813098546419
1.7,-5.27815022907411,-11.4910367381066,0.176177010618286,-0.001644085418853,37.901303495118
1.8,-5.46698029943006,-11.441989677341,0.176518962572983,-0.00198603737355,32.5994048885417
1.9,-5.63228863632001,-11.2181544887174,0.176604974996875,-0.002072049797442,34.5440164791693
2,-5.76947175557888,-10.997772595429,0.176599976769056,-0.002067051569623,34.7971547456022
2.1,-5.88137095495638,-10.4880992410463,0.176453389604604,-0.001920464405171,33.8884595868868
2.2,-5.96496107736687,-10.0443032750853,0.176445670307946,-0.001912745108513,28.6702630290755
2.3,-6.03054184019074,-9.48857892233771,0.176467857622356,-0.001934932422923,24.2416866489116
2.4,-6.05209094488059,-8.88528967582806,0.176452399371395,-0.001919474171963,19.0474442609511
2.5,-6.04752528226399,-8.17928205415616,0.176525915528309,-0.001992990328876,30.1309649197758
2.6,-6.02140684184344,-7.3950384466688,0.176435534007064,-0.001902608807631,22.4446867315809
2.7,-5.97838552013514,-6.55500479217203,0.176455184479426,-0.001922259279993,28.896379845101
2.8,-5.90906318195734,-5.62675816836069,0.176571186855252,-0.002038261655819,24.8298235041113
2.9,-5.81339697206883,-4.77139567487521,0.176685504790979,-0.002152579591546,41.0254231607227
3,-5.69069536015218,-3.79260555403633,0.176663959117409,-0.002131033917976,23.8840602387707
3.1,-5.54788087077329,-2.89518494130765,0.176645720585239,-0.002112795385806,25.3555561971823
3.2,-5.39451484515999,-1.95664250305141,0.176540838102825,-0.002007912903392,24.1352551524922
3.3,-5.21148054461331,-0.998706857597985,0.176625486796704,-0.002092561597271,28.2222938937308
3.4,-5.01436876576983,-0.055400159603345,0.176523841899532,-0.001990916700099,21.7308005955279
3.5,-4.80164471886149,0.831232068290891,0.176231587579459,-0.001698662380026,26.7350220706556
3.6,-4.57245856262753,1.56389967956112,0.17596354559645,-0.001430620397017,17.7533055707021
3.7,-4.33464043711454,2.36425433510072,0.175709720524815,-0.001176795325382,17.0227911675619
3.8,-4.08271933450161,3.186811107043,0.175638296077549,-0.001105370878116,13.7591887537205
3.9,-3.82309136194091,3.80764786584629,0.175662980270389,-0.001130055070956,18.2071026744102
4,-3.55446344162684,4.45365068717578,0.175727405115672,-0.001194479916239,16.4627307911339
4.1,-3.27995848225054,4.91722410133233,0.175745795320612,-0.001212870121179,12.7783861238683
4.2,-3.00440358772817,5.36875890781954,0.175721335265226,-0.001188410065793,13.0991531700842
4.3,-2.72537983908116,5.72853103958014,0.175802204130575,-0.001269278931142,11.5226475826656
4.4,-2.44537330368787,6.05076042297822,0.175847210260207,-0.001314285060774,12.7705446135666
4.5,-2.16699971455998,6.29606342001552,0.175739695878595,-0.001206770679162,13.8232623966158
4.6,-1.89247147445472,6.45350366262895,0.175529740294736,-0.000996815095303,15.516717737632
4.7,-1.62395193102631,6.54614354205705,0.175338124094322,-0.00080519889489,10.2398387091103
4.8,-1.35935028959716,6.55800822699377,0.175376611533338,-0.000843686333905,18.6654913095205
4.9,-1.10197162042542,6.47913340655819,0.175597530223557,-0.001064605024124,10.9328585472916
5,-0.852787980614703,6.35757678815852,0.175797013135372,-0.001264087935939,15.705115258007
5.1,-0.613929353350774,6.16897051597706,0.17589794688015,-0.001365021680717,13.8703539464367
5.2,-0.387307115258236,5.94330303177443,0.175824796157113,-0.00129187095768,15.1066584159413
5.3,-0.173096960980491,5.674564196767,0.175748496059253,-0.00121557085982,13.5041690328701
5.4,0.028391755658934,5.33364230000489,0.175716515545335,-0.001183590345902,18.1539241114903
5.5,0.217353541566232,4.99782206949627,0.175700576337967,-0.001167651138534,18.3106264239844
5.6,0.391563363960415,4.60079792085842,0.175670617347254,-0.001137692147821,18.9082410639171
5.7,0.550896971972555,4.21784995449024,0.175636921330253,-0.00110399613082,21.57965423214
5.8,0.693442052003298,3.82971649261965,0.175621894525935,-0.001088969326502,18.9563062301014
5.9,0.822514170541183,3.44488502454651,0.175629788565516,-0.001096863366083,19.0660130887042
6,0.936716396314079,3.06669725068693,0.175604151207557,-0.001071226008124,17.5581191670072
6.1,1.03331252457526,2.60532871077485,0.175579938145982,-0.001047012946549,18.6640851180749
6.2,1.11795620536926,2.21189038475852,0.17562800115183,-0.001095075952397,17.8684584645381
6.3,1.19160085716771,1.83683139169364,0.175644776747129,-0.001111851547696,17.0073364964709
6.4,1.2384108705004,1.44263555665508,0.175655482379099,-0.001122557179666,21.5642357860039
6.5,1.26892553578215,1.09432930664153,0.175670251399897,-0.001137326200464,21.6786191372481
