time,hat{D_{u}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
0,0,0,0,-3,13,-1,4.8309518948453,-0.755969410423908,-0.785398163397448,23.0480119585991,97.9876279830933,-78.6768734455109
0.1,0.739022752325317,-0.003796227400095,0.570956816909246,-2.99199679993782,12.9937644153214,-1.00095048442652,4.91899024591445,-0.736248169767027,-0.728176182850793,30.3889870643616,97.0463573932648,-99.8971581459045
0.2,-0.154100242097065,-0.735260960963142,0.039283153871292,-2.96461758492591,12.9629509811532,-1.00738946252749,4.98380292587688,-0.709076388710899,-0.628390293985522,59.9774301052094,97.5390911102295,-62.0404839515686
0.3,-1.27469890304362,-1.83110815233232,-1.04814384275657,-2.91378342109879,12.9258604677728,-1.01739594361979,5.03308947344117,-0.680910783092989,-0.512973763792197,78.889262676239,96.7198967933655,-97.3616600036621
0.4,-2.85264717503458,-3.00569404814144,-2.13687234680939,-2.84152179262881,12.8783246967051,-1.03072447278225,5.06541537881932,-0.654460416276793,-0.394697147725663,91.8037116527557,96.0372388362885,-100
0.5,-4.2125805877951,-4.15065982856113,-3.59106297108351,-2.75333336900237,12.8171312140497,-1.04795406461363,5.08162243870876,-0.631458501700594,-0.288466727954383,95.3620910644531,96.2356328964233,100
0.6,-5.41701009140754,-5.25983309785126,-4.97364426836753,-2.65254743219579,12.7502096978763,-1.06806782109333,5.0878603736646,-0.611974138718688,-0.196227307521788,96.1170375347137,96.026998758316,100
0.7,-6.5744710307667,-6.30158018368682,-6.32001656553937,-2.53328512249487,12.7012808276207,-1.08673660442565,5.09405515129745,-0.595779464276014,-0.12456330043904,95.3547656536102,96.4446365833283,42.7848190069199
0.8,-7.65048698100812,-7.2783894758817,-7.63669502435337,-2.40583807973745,12.6594239685345,-1.10259958237669,5.10165692115944,-0.582562994813765,-0.073477264002539,95.697146654129,97.0192551612854,50.5577564239502
0.9,-8.6691181909544,-8.16933603641612,-8.48806334818545,-2.28209263204414,12.6136565821362,-1.11635187251224,5.11215491940275,-0.571300902767394,-0.035530242836801,95.285040140152,96.8104124069214,100
1,-9.62507609751164,-8.96564727695803,-8.93854797732599,-2.1652208272936,12.5681776301721,-1.13031129179683,5.12775860343215,-0.560694077612163,-0.007064636907445,96.8399345874786,96.9724118709564,62.486332654953
1.1,-10.4842168609264,-9.67160464332724,-9.90121708684987,-2.05954799753043,12.5237317473195,-1.14392857995427,5.15177044746443,-0.549927747013524,0.015254378863102,96.0030674934387,96.6878890991211,52.0273923873901
1.2,-11.2420425021847,-10.2543135726036,-10.1297405974666,-1.98272607258572,12.46250581556,-1.15999996400469,5.18555020836827,-0.538000560027041,0.034600866387553,100,93.6950743198395,-39.6611213684082
1.3,-11.9108515352238,-10.7219597886001,-10.2181309932253,-1.93381502010641,12.3894641955289,-1.17898577005928,5.23128965571391,-0.525045793405434,0.052181140201263,100,78.3015131950378,72.553551197052
1.4,-12.4476392083295,-11.1002119933187,-11.2094006433479,-1.89914293643965,12.325987742704,-1.19930281426701,5.2911816412287,-0.513223443613558,0.056830094387026,100,57.4187636375427,60.5122685432434
1.5,-12.9145256780923,-11.3459798478832,-11.1548735467536,-1.87839847552097,12.2740955940228,-1.2163965503715,5.36891812259903,-0.504596653185695,0.052270298067425,100,28.7861585617065,39.3847554922104
1.6,-13.2828266682466,-11.4768996357188,-10.8458685264563,-1.87293551405709,12.2342376699164,-1.22918825568666,5.46626402056235,-0.499336478466484,0.051229174197417,100,46.8170374631882,25.3942340612411
1.7,-13.5048870292972,-11.499162428637,-10.8889851639774,-1.87226116430588,12.2233294587406,-1.23516061208692,5.58437083580192,-0.496438944231626,0.054116406837552,100,61.3526821136475,-32.0876508951187
1.8,-13.6464201338231,-11.3753860344593,-10.9480653171717,-1.87077221977275,12.2505848935231,-1.23207875467394,5.72400253752688,-0.494953272811294,0.047634417839817,100,-40.9387469291687,48.0789572000504
1.9,-13.6702431394665,-11.1650876093889,-10.9516403060667,-1.88351942527791,12.2941329622181,-1.22054306985443,5.88628388754371,-0.495024781632755,0.02660903799916,100,100,12.5443547964096
2,-13.6816621587462,-10.8752743318761,-10.944818515478,-1.91504140795117,12.3476505584921,-1.20447824527763,6.06956936715037,-0.496668304551427,-0.002128997804893,100,17.7132785320282,90.904176235199
2.1,-13.6831621648911,-10.4390962819037,-10.4336544571511,-1.9655839834503,12.4094041919877,-1.18621406729995,6.27220534876027,-0.494906841540219,-0.0358332668319,100,43.7164008617401,-2.12999880313873
2.2,-13.4064792722073,-9.93549202077928,-10.2964132198494,-2.03456822920808,12.4771588808351,-1.16654611710588,6.49272780806217,-0.491581147002309,-0.071637358879042,100,-14.1054019331932,25.6078571081161
2.3,-12.8030861293032,-9.33965904154018,-9.59794489527731,-2.12155212083257,12.5477531685114,-1.14932263209798,6.72761935245859,-0.482299992317747,-0.108755589091712,100,38.3542627096176,77.070426940918
2.4,-12.5393884526643,-8.64769569953532,-9.13986603439708,-2.22753728799575,12.6119123760162,-1.13583768208686,6.97346264118931,-0.471084789927989,-0.148165668679995,100,-18.6555802822113,51.8768310546875
2.5,-11.9979968053716,-7.92854272160038,-8.54712386703638,-2.35275640201509,12.6580700197454,-1.12568466022881,7.22632517902305,-0.457988626051856,-0.185310324062768,100,0.838251411914825,33.189845085144
2.6,-11.3802657729066,-7.12354775484472,-7.50436126283934,-2.49584496677341,12.6741807047502,-1.11504119666634,7.48283476363473,-0.441712042238951,-0.215411379048782,100,-100,12.544709444046
